Consolidated Item List,,,,,,,,Commodity Type,Item Count,Item Type,Item Count
039501HB,039501HB,PCC,800,"7,500",0,Hardware & Fittings,Hardware Component,,,,
039701HB,039701HB,PCC,700,"15,000",0,Hardware & Fittings,Hardware Component,,,,
04-03-20-BK,0,ALLELE,700,850,0,Hardware & Fittings,Hardware Component,,,,
04-08-108,S-04 CABLE CLAMPS CLIPS,ALLELE,700,"4,100",0,Electrical & Wiring,Wire / Cable,,,,
040901HB,040901HB,PCC,800,"5,000",0,Hardware & Fittings,Hardware Component,,,,
04-09-208,04-09-208 ADHESIVE BACKED,ALLELE,700,"4,300",0,Adhesives/Tape/Sealants,Adhesive / Tape,,,,
041101HB,041101HB,PCC,800,"5,000",0,Hardware & Fittings,Hardware Component,,,,
042201HB,042201HB,PCC,800,"7,500",0,Hardware & Fittings,Hardware Component,,,,
042501HB,042501HB,PCC,800,"6,000","10,000",Hardware & Fittings,Hardware Component,,,,
043-0038-00,FUSE 1 AMP BK/ATC-1,FUSES,602,767,0,Electrical & Wiring,Electrical Component,,,,
043-0057-00,FUSE 30 A TO BLADE,TTI,602,"1,804","2,000",Electrical & Wiring,Electrical Component,,,,
043-0058-00,FUSE 7.5A ATO BLADE,TTI,602,62,0,Electrical & Wiring,Electrical Component,,,,
0453922,"1"" x 520"" POLY-TEMP MD 500 DEG",GRAIN,700,147,0,Fasteners,Screw,,,,
045601HB,045601HB,PCC,700,"3,000",0,Hardware & Fittings,Hardware Component,,,,
0462-201-16141,DEUTSCH SOCKET CONTACT SIZE 16,TTI,700,"1,600","10,000",Hardware & Fittings,Hardware Component,,,,
0462-203-12141,DEUTSCH SOCKET CONTACT SIZE 12,TTI,700,120,"2,000",Hardware & Fittings,Hardware Component,,,,
0462-209-16141,DEUTSCH SOCKET CONTACT SIZE 16,TTI,700,120,"2,000",Hardware & Fittings,Hardware Component,,,,
0475010HNB,3/4-10 NYLON HEX NUT 6/6,VIP,700,956,0,Fasteners,Nut,,,,
0507R,OETIKER 0507R - 2 EAR CLAMP,KINEQUIP,700,"2,600",0,Hardware & Fittings,Fitting / Valve,,,,
051-29936-00,"LABEL,CONNECTOR, 2 WAY RI-50",STEVENL,602,100,0,Packaging & Labeling,Packaging,,,,
054007-00840,GREEN LITE GQS-B6V,GREEN,700,"17,995",0,Hardware & Fittings,Hardware Component,,,,
05-5008R-PP,STAINLESS TEEL BOLT AND NUT,JUSHAR,902,0,25,Fasteners,Nut,,,,
05539500535,4 1/2 X 7/8 SURFACE STRIP DISC,SAINT-GOBA,400,60,0,Fasteners,Screw,,,,
067-1362-000,MNTG CUP TILLERPILOT,KTL,602,516,0,Hardware & Fittings,Hardware Component,,,,
067-1402-000,TILLER PIN TP100/300C,KTL,602,21,500,Hardware & Fittings,Hardware Component,,,,
067-30034-01-PP,SPRING COMPRESSION BUTTON,NEWCOM,800,"10,300",0,Springs & Clips,Spring,,,,
067-30034-PP,15 OD X 18L X 0.9MM SPRING,NEWCOM,800,151,0,Springs & Clips,Spring,,,,
067-30485-PP,20MM ID X 20L X 1.12MM SPRING,NEWCOM,800,"1,000",0,Springs & Clips,Spring,,,,
069-34548-00,"SPRING, COMPRESSION, MOUNT",RTC,700,"10,778","15,000",Springs & Clips,Spring,,,,
069-8M4012028-00-PP,SPRING LINKAGE STAINLESS STEEL,STERL,800,"1,000",0,Springs & Clips,Spring,,,,
072-0852-01,BRKT XDCR,CRAFT,602,763,"10,000",Hardware & Fittings,Hardware Component,,,,
072-0854-02,RTCHT XDCR BRKT,CRAFT,602,"1,770","12,000",Hardware & Fittings,Hardware Component,,,,
072-24852-00,"BRACKET MO UNT, QUICK RELEASE",CRAFT,602,"1,542",0,Hardware & Fittings,Hardware Component,,,,
072-2605-001,"WASHER, FLUSH MOUNT",CRAFT,602,16,"3,500",Fasteners,Washer,,,,
072-2749-000,RETAINER CABLE,PLAST,602,"2,490",0,Electrical & Wiring,Wire / Cable,,,,
072-2992-000,DUSTCAP LTW MICROC N2K CONN,AMPHENOL,602,424,"1,000",Electrical & Wiring,Connector,,,,
072-3327-001,SCREW MOUNT JIG,NATIONALP,602,"4,254","6,000",Fasteners,Screw,,,,
072-3346-000,BEZEL OP50,NATIONALP,602,4,"1,000",Hardware & Fittings,Hardware Component,,,,
072-34545-00,"GUIDE, MOUNT",ANTUNG,602,"7,600","11,200",Hardware & Fittings,Hardware Component,,,,
074-0505-000,WASHER SPRING 3/8 ID,MSDC,602,"1,605","4,000",Fasteners,Washer,,,,
074-0894-000,SIMNET CNCTR COVER,YANCHUEN,602,537,0,Hardware & Fittings,Hardware Component,,,,
074-1123-000,SEAL GASKET,MSDC,602,"1,219",0,Hardware & Fittings,Seal / Gasket / O-Ring,,,,
074-1253-000,GASKET DASH-MOUNT YOSEMITE,CHICAGO,602,"2,391","6,000",Hardware & Fittings,Seal / Gasket / O-Ring,,,,
074-25330-00,"GASKET, MOUNTING, DYSON",MSDC,602,111,0,Hardware & Fittings,Seal / Gasket / O-Ring,,,,
074-25671-00,VLADIMIR CAP CONN USB,OUTDOORS,602,"1,600",0,Electrical & Wiring,Connector,,,,
074-31689-00-PP,O-RING 78.97 MM X 3.53 MM,CALIBE,800,"2,000",0,Hardware & Fittings,Seal / Gasket / O-Ring,,,,
074-34242-00,SD CARD READY CONNECTOR CAP,OUTDOORS,602,604,"2,000",Electrical & Wiring,Connector,,,,
074-34387-00,"SPACER, SHFT MNT",HI-TECH,602,"8,056","8,200",Fasteners,Spacer / Standoff,,,,
074-34704-00,"SPACER, THICK, SHFT MNT",HI-TECH,602,"8,056","8,200",Fasteners,Spacer / Standoff,,,,
08004010-A03Q,.394 HOLE X.189-209PANEL BLACK,EFC,700,"1,090",0,Hardware & Fittings,Hardware Component,,,,
080375-13-PP,#10-32 X 5/8 HEX WASHER HD,KWOKTA,902-SAPONA,15,0,Fasteners,Washer,,,,
081-34306-00-PP,M3-0.5 6MM ULTRA LOW CAP SCREW,KWOKTA,902-NAV,"1,000","2,000",Fasteners,Screw,,,,
081-34307-01-PP,M4-0.7 X 6MM SHOULDER BOLT,KWOKTA,902-NAV,"2,400","5,000",Fasteners,Bolt,,,,
08286,"11-1/2""CABLE TIE 50 lbs BLACK",HANGZHOU,901-JAC,"704,885",0,Electrical & Wiring,Wire / Cable,,,,
08376,08376 DENNISON SAME AS PANDUIT,ALLELE,700,"1,000",0,Hardware & Fittings,Hardware Component,,,,
08-462,NYLON CABLE TIE MOUNT ADHESIVE,FE,700,"17,500",0,Electrical & Wiring,Wire / Cable,,,,
08-50-0114,PIN CONNECTOR MOLEX 08-50-0114,LEEJOH,700,50,0,Electrical & Wiring,Connector,,,,
085-0017-000-B,HEAD JACKSCREW D-MINM 303 S/S,STMTAP,902-ITT,"40,000","35,000",Hardware & Fittings,Hardware Component,,,,
08-55-0102,08-55-0102 MOLEX,TTI,700,"1,000",0,Electrical & Wiring,Connector,,,,
0865286,SEAT BELT RECTRACTABLE RED,INTELLA,700,1,0,Hardware & Fittings,Hardware Component,,,,
0885573-KIT,6X1 PHL PAN SHT MTL ST ZI (2,KWOKTA,902-CREAT,"4,800","196,800",Hardware & Fittings,Kit,,,,
089-0431-00,FUSE HLDR ATC BLD TYPE IN LINE,TTI,602,"21,673","48,000",Electrical & Wiring,Electrical Component,,,,
089-34546-00,"M6x8 SHOULDER BOLT, TORQ PATCH",MAXSWALL,700,"5,132","12,500",Fasteners,Bolt,,,,
089-34790-00,M6 X 53 SHOULDER  BOLT TORQ,MAXSWALL,800,10,"2,000",Fasteners,Bolt,,,,
091180,"3.5"" X 6.5"" LONG .25 SKIRT",AUTOPA,800,"36,600",0,Fasteners,Screw,,,,
1.000-24,SINCLAIR AND RUSH. 1.000-24,PCC,700,"2,521",0,Hardware & Fittings,Hardware Component,,,,
1.125-.640-.030S,.635 X 1.120 X .027 FLATWASHER,WWM,700,"2,777",0,Fasteners,Washer,,,,
1/4-TAT-125,1/4 SHRINK TBE GLUE CNTR BLCK,ANAHEI,700,100,0,Packaging & Labeling,Packaging,,,,
1001385-R,1.500 X 1.929 X RAND,NEWAGE,800,1,0,Fasteners,Screw,,,,
10032360-PP,3/8 ID .051 WIRE .92 LONG PER,STERL,800,"20,400","20,000",Electrical & Wiring,Wire / Cable,,,,
100-5029-000-000-NC,MOUNTING NUT 4-40 BRASS PER,ACC-SP,801,"2,041",0,Fasteners,Nut,,,,
100-5433-000-000,100-5433-000-000 REV C SEAT,ACC-SP,801,214,0,Miscellaneous/MRO,Custom / Print Part,,,,
100-8712-001-000-PP,.156 HX X .564 L X 2-56 THREAD,FASCOM,800,300,0,Hardware & Fittings,Hardware Component,,,,
1009985-PP,"HEATSINK, ACCENT LIGHT",STMTAP,902-HAY,"20,220","60,240",Hardware & Fittings,Hardware Component,,,,
101-208-359,NELSON STUD WELDING 10-32 STUD,GOFAST,901-BALBOA,"34,225","150,000",Fasteners,Rod / Stud,,,,
1032A8-12SS,INSERT YARDLEY S/S 10-32 BLIND,YPC,800,100,0,Fasteners,Insert,,,,
1032X312MT,10-32 BRASS MOLD-IN THRD INSRT,RAF,800,"11,000",0,Raw Materials & Metals,Raw Material,,,,
105-8,1/2 NPSL THREAD BRASS LOCK NUT,USDPRO,700,500,0,Fasteners,Nut,,,,
1062-12-0222,STAMPED SOCKET NICKEL SIZE 12,TTI,700,"4,955",0,Hardware & Fittings,Hardware Component,,,,
1080-1,"8"" X 10"" LONG .25"" SKIRT 1.54",AUTOPA,800,"14,500",0,Fasteners,Screw,,,,
10AD,CPLG 10AD W/EYE.OFF-A34(.1,FRANKF,700,6,0,Hardware & Fittings,Hardware Component,,,,
10SC002037B,#2 X .375 SCREW INSULATOR,VIP,800,"50,058",0,Fasteners,Screw,,,,
10SC006004,0.047X0.29X0.047X0.17X0.14,ESSENTRA,700,"5,000",0,Fasteners,Screw,,,,
10SC006037,10SC006037 MICRO,MPI,700,"1,300",0,Hardware & Fittings,Hardware Component,,,,
1100-1,"9"" X 12.5"" LONG .25 SKIRT 1.54",AUTOPA,800,"35,000",0,Fasteners,Screw,,,,
1111-4-N,1111-4-N 3/8 L. 3/16 RD. .125,VIP,700,"2,500",0,Hardware & Fittings,Hardware Component,,,,
11134-SPIROL,1/8 X 3/4 SPIROL PIN 302 SS,PPROD,700,"2,000",0,Fasteners,Screw,,,,
112-70-B76-70,O-RING 1/2CTS BUSHING B46 70,CALIBE,800,"10,000",0,Hardware & Fittings,Seal / Gasket / O-Ring,,,,
113-4X3,BRASS NIPPLE P/N 113-4X3,GRUNER,800,50,0,Hardware & Fittings,Fitting / Valve,,,,
114 Teflon CoatedV75,114 Blue Teflon Coated V75,ALL,700,"1,755",0,Hardware & Fittings,Hardware Component,,,,
114017-ZZ,SEALING PLUG SIZE 12-16,TTI,700,360,"6,000",Electrical & Wiring,Electrical Component,,,,
114054-PP-.500-SS1,114054-PP-0.500-SS1,ACC-SP,700,"2,002",0,Hardware & Fittings,Hardware Component,,,,
114056-PP-625-SS-12A,114056-PP-625-SS-12A 8-32 X,WELLFL,901-BALBOA,"63,900","306,000",Hardware & Fittings,Hardware Component,,,,
114126.375SS12,6-32X3/8 PIL FLAT HEAD CAPTIVE,PRECI,700,0,200,Fasteners,Screw,,,,
114217.375SS12A,.112-40 X .375 PHIL FLAT,ACCURA,800,50,0,Fasteners,Screw,,,,
1154-10-A-0,.192 ID X.312 OD X .187 LONG,FASCOM,800,0,100,Hardware & Fittings,Hardware Component,,,,
1157-HEYCO,HEYCO 1157 STRAIN RELEIF BLACK,FE,700,750,0,Electrical & Wiring,Strain Relief,,,,
1180-1,"10.5"" X 15"" LONG .25 SKIRT 2.8",AUTOPA,800,"12,500",0,Fasteners,Screw,,,,
1187-8-N-0,3/8 OD ROUND SPACER 5/16 L X,KAN,700,"1,000",0,Fasteners,Spacer / Standoff,,,,
11-913R-PIM-PP,"BRASS FITTING 1/2""NPT/BARBED",JUSHAR,902-PHIL,0,"30,000",Hardware & Fittings,Fitting / Valve,,,,
11-927R-PP,BRASS FITTING PUSH-IN SWIVEL,JUSHAR,901-PHIL,"83,400",0,Hardware & Fittings,Fitting / Valve,,,,
11-941R-PP,"BRASS SLEEVE 3/8"" RUBBER AIR",JUSHAR,902-PHIL,"278,000","700,000",Hardware & Fittings,Hardware Component,,,,
11SFW0010B,#10 NYLN FINISHING WASHR .196,VIP,700,510,0,Hardware & Fittings,Hardware Component,,,,
1202-SHAKEPROOF,1202 SHAKERPROOF OR EQUAL INT,WELLFL,901-LEACH,"347,600",0,Hardware & Fittings,Hardware Component,,,,
1202-SHAKEPROOF-LTN,1202 SHAKERPROOF OR EQUAL INT,ACC-SP,901-LEACH,"159,270",0,Hardware & Fittings,Hardware Component,,,,
1203-346-002,1200 PANEL FRAME INSERT 6-32,STMTAP,902-PELICA,"25,000","30,000",Fasteners,Insert,,,,
1203-346-502-PLAIN,1200 PANEL FRAME METRIC INSERT,STMTAP,902-PELICA,0,"30,000",Fasteners,Insert,,,,
1203-348-002,Assemble Kit 1203-348-002,ACCU-WO,600-PELICA,"1,400",0,Hardware & Fittings,Kit,,,,
1203-348-003,#6x3/4 PHIL PAN SMS TYPE AB,ACCU-WO,600-PELICA,556,0,Fasteners,Screw,,,,
1203-SHAKEPROOF-LTN,1203 SHAKERPROOF LOCKWASER,ACC-SP,701,"43,800",0,Hardware & Fittings,Hardware Component,,,,
1204-SHAKEPROOF-LNI,1204 SHAKEPROOF LOCKWASHER,ACC-SP,701,"12,190",0,Fasteners,Washer,,,,
1204-SHAKEPROOF-LTN,1204 SHAKERPROOF LOCKWASER,ACC-SP,802,"29,600",0,Hardware & Fittings,Hardware Component,,,,
1204-SHAKEPROOF-ZINC,1204-SHAKEPROOF ZINC,WCL,700,"40,000",0,Hardware & Fittings,Hardware Component,,,,
1206-SHAKEPROOF-LNI,1206 SHAKEPROOF LOCKWASHER,ACC-SP,802,"4,380",0,Fasteners,Washer,,,,
120707-1-REV-A,SPECIAL SHOULDER RIVET,CSMFAS,800,"1,900",0,Fasteners,Rivet,,,,
1210-06-LNI,1210-06 SHAKEPROOF LOCKWASHER,ACC-SP,701,"4,995",0,Fasteners,Washer,,,,
12102-LOOSE,VIBRA-TITE 12102 THREADLOCKER,N-DMI,700,0,"6,000",Hardware & Fittings,Hardware Component,,,,
1215-25-N-0,1/2X1/4X1/8 ROUND SPACER NYLON,VIP,700,"3,500",0,Fasteners,Spacer / Standoff,,,,
121-70-B46-70-DOM,OR121-70-D,CALIBE,700,"25,000",0,Hardware & Fittings,Hardware Component,,,,
1217-25-N,"1/2 ROUND 1/4"" CLEAR HOLE 1/4",KAN,800,100,0,Hardware & Fittings,Hardware Component,,,,
12202 VIBRA-TITE,BULLET TUBE 1.8 ML BLUE,N-DMI,700,"2,087",0,Raw Materials & Metals,Raw Material,,,,
1221-25-N-0,1/2ODX1/2LX1/4 NYLON ROUND,VIP,700,"2,569",0,Hardware & Fittings,Hardware Component,,,,
1228-02-00-0551,5/8 INT TOOTH LW STL ZINC,WCL,700,500,0,Fasteners,Washer,,,,
125HB-3-4,"ADAPTER,STRAIGHT  HOSE",CSS,700,64,0,Hardware & Fittings,Fitting / Valve,,,,
1279-38-A-0,3/4 OD X 1/4 LNG ALUMINUM,FASCOM,700,65,250,Raw Materials & Metals,Raw Material,,,,
1287-KEYSTONE,KEYSTONE 1287,LEEJOH,700,"19,000",0,Hardware & Fittings,Hardware Component,,,,
12-9917PIM-PP,11-917R - BRASS FITTING FIXED,JUSHAR,901-PHIL,"60,000","160,000",Hardware & Fittings,Fitting / Valve,,,,
12BH381-GR,12BH381-GR HOLDER BATTERY 8 AA,MOUSER,700,100,0,Tools & Tooling,Tooling,,,,
12SWS0192,12SWS0192 1/8 X 1/4 SHLDR,ESSENTRA,800,"6,200",0,Fasteners,Screw,,,,
12SWS0305,12SWS0305 #4 NYLON SHOULDER,ESSENTRA,700,"2,350",0,Hardware & Fittings,Hardware Component,,,,
12SWS1034B,SHLDR WASH - BLACK NYLON,VIP,800,500,0,Hardware & Fittings,Hardware Component,,,,
12SWS1053,1/4 NYLON SHOULDER WASHER,ESSENTRA,700,"1,000",0,Fasteners,Washer,,,,
130C-3/4X30FT,SELF FUSING TAPE ROLL,FE,602,120,0,Adhesives/Tape/Sealants,Adhesive / Tape,,,,
1318-0-ZI3,1318-0 JACK SCREW W/O HARDWARE,HI-Q,700,369,0,Fasteners,Screw,,,,
13RS050022,.260 ID X.500 OD X.250 LONG,ESSENTRA,700,900,0,Hardware & Fittings,Hardware Component,,,,
13RS098551B,1000ODX.312IDX.250TH ROUND,VIP,700,"8,200",0,Hardware & Fittings,Hardware Component,,,,
13RS100037B,.388X1.00X.375 ROUND SPACER,VIP,700,"10,000",0,Fasteners,Spacer / Standoff,,,,
13RSSR0064,.252 ID .375 OD- .156L,ESSENTRA,700,"1,000",0,Hardware & Fittings,Hardware Component,,,,
13SP022,NON THREADED NYLON SPACER,VIP,700,"8,000",0,Fasteners,Spacer / Standoff,,,,
13SP033,1/4 RD X 1/8 LONG .140 ID,VIP,700,700,0,Hardware & Fittings,Hardware Component,,,,
13SP040,.115 X .250 X .250 ROUND,VIP,700,"3,500",0,Fasteners,Screw,,,,
13SP048,13SP048 1/4 RD NYLON SPACER #4,VIP,700,100,0,Fasteners,Spacer / Standoff,,,,
13SP049,13SP049 1/4 RD NYLON SPACER,VIP,700,"10,000",0,Fasteners,Spacer / Standoff,,,,
13SP053,13SP053 NYLON SPACER,VIP,700,350,0,Fasteners,Spacer / Standoff,,,,
13SP150,.194(10) X 1 5/16 RND NYLON,VIP,700,"1,150",0,Fasteners,Screw,,,,
13SP166,ROUND SPACER NYLON 6/6,MPI,700,"1,800",0,Fasteners,Spacer / Standoff,,,,
13SP184,3/8 X .194 X 5/8 NYLON SPACER,VIP,700,"4,000",0,Fasteners,Spacer / Standoff,,,,
13SP219,ROUND SPACER NYLON #8,VIP,700,"11,200",0,Fasteners,Spacer / Standoff,,,,
13SP257,1/4 ID X 1/2 OD X 3/4 ROUND,VIP,700,250,0,Hardware & Fittings,Hardware Component,,,,
141AL-ROHS,"LOCKNUT/ 1/2"" HUB ALUMINIUM",LEEJOH,700,91,0,Fasteners,Nut,,,,
1463-341-000-KIT,1/4-20 X 1 3/4 PHIL PAN M/S,ACCU-WO,600-PELICA,350,0,Hardware & Fittings,Kit,,,,
14HTSP010,"1/4 HEX 6-32 THREAD 1""LONG F/F",VIP,700,"4,100",0,Hardware & Fittings,Hardware Component,,,,
1502-00-LCT,1502-00 SHAKEPROOF # 2 COUNTER,ACC-SP,701,"7,075",0,Hardware & Fittings,Hardware Component,,,,
151-03039,RATCHET P-CLAMP,FE,700,0,"4,000",Hardware & Fittings,Hardware Component,,,,
151701BB,J-3/4 LPE Blue,PCC,800,"15,000","20,000",Hardware & Fittings,Hardware Component,,,,
152001BB,J-1 LPE Blue,PCC,800,"7,500",0,Hardware & Fittings,Hardware Component,,,,
15205A610,"3-1/2"" X 3/4 SPRING BUTT HINGE",SPE&P,700,0,"24,000",Springs & Clips,Spring,,,,
152301BB,152301BB,PCC,700,"8,000",0,Hardware & Fittings,Hardware Component,,,,
1530.2430.9138.04,"1.565"" ID X .162"" WALL CLEAR",ONYX,902-HAY,1,0,Hardware & Fittings,Hardware Component,,,,
1530.2430.9228.04,"1.565"" ID X .162"" WALL CLEAR",ONYX,902-HAY,1,0,Hardware & Fittings,Hardware Component,,,,
1530.2430.9268.04,"1.565"" ID X .162"" WALL CLEAR",ONYX,902-HAY,1,0,Hardware & Fittings,Hardware Component,,,,
1530.2430.9338.04,"1.565"" ID X .162"" WALL CLEAR",ONYX,902-HAY,1,0,Hardware & Fittings,Hardware Component,,,,
153001BB,J-2 LPE Blue,PCC,800,"5,000",0,Hardware & Fittings,Hardware Component,,,,
15-870R-PP,PIN HEX QCS/28 SOCKET BREAKER,JUSHAR,901-PHIL,"24,500","25,000",Hardware & Fittings,Hardware Component,,,,
15-8802R-PP,GND SLD PIN 7-WY DISC SB,METECH,902-PHIL,"31,500",0,Hardware & Fittings,Hardware Component,,,,
15-8812R-PP,STD SOLID PIN 7-WAY,METECH,902-PHIL,"171,000",0,Hardware & Fittings,Hardware Component,,,,
1601-097-DK,LOCKING PLATE WASHER,DOOR-LS,700,315,0,Fasteners,Washer,,,,
1601-241,11 ITEMS ALL IN ONE BAG -,ACCU-WO,600-DOOR,50,0,Packaging & Labeling,Packaging,,,,
16-02-1109,16-02-1109,FE,700,200,0,Hardware & Fittings,Hardware Component,,,,
16031-064,LATCH BOLT SPRING,ACC-SP,801,75,0,Fasteners,Bolt,,,,
16031-187,HELICAL ADJUSTMENT SCREW,ACC-SP,801,75,0,Fasteners,Screw,,,,
16-105R-PP,STD PIN 7 WAY PLASTIC SOLID,JUSHAR,902-PHIL,0,"10,000",Hardware & Fittings,Hardware Component,,,,
16-125R-GPIN-PP,"PIN, GROUND GREEN PLUG",HEREDE,902-PHIL,"153,973",0,Electrical & Wiring,Electrical Component,,,,
16-125R-SPIN-PP,"PIN, STANDARD GREEN PLUG",HEREDE,902-PHIL,"567,971",0,Electrical & Wiring,Electrical Component,,,,
16-2013R-PP,AUX PIN 7-WY PLASTIC SCKT RING,METECH,902-PHIL,"7,500","20,000",Hardware & Fittings,Hardware Component,,,,
16-201R-PP,SPLT AUX PIN 7-WY PLASTIC SCKT,METECH,902-PHIL,0,"45,000",Hardware & Fittings,Hardware Component,,,,
1620-2,6-32 X .250 O.D. HEX SWAGE,FE,700,"1,216",0,Fasteners,Bolt,,,,
16-2023R-PP,STDRD PIN 7-WY PLASTIC SCKT,DONG,902-PHIL,0,"175,000",Hardware & Fittings,Hardware Component,,,,
16-2024R-PP,STDRD SPLT PIN 7-WAY NYL SCKT,DONG,902-PHIL,"301,000","1,700,000",Hardware & Fittings,Hardware Component,,,,
16-202R-PP,SPLIT STD PIN 7-WY PLASTIC SKT,METECH,902-PHIL,0,"150,000",Hardware & Fittings,Hardware Component,,,,
16-2033R-PP,GRND PIN 7-WY PLASTIC SCKT,METECH,902-PHIL,"32,000",0,Hardware & Fittings,Hardware Component,,,,
16-2034R-PP,SPLT GRND PIN 7-WY NYL SCKT,DONG,902-PHIL,"100,000","265,000",Hardware & Fittings,Hardware Component,,,,
16-203R-PP,SPLIT GND PIN 7-WY PLASTIC,METECH,902-PHIL,0,"40,000",Hardware & Fittings,Hardware Component,,,,
1624-0411,1624-0411 AVDEL / LS-0411,EDSON,700,"3,000",0,Hardware & Fittings,Hardware Component,,,,
1624-0612,3/16 BLIND RIVET AVDEL,IRF,700,0,"5,000",Fasteners,Rivet,,,,
1625W-1/2-BK-STK,HEAT SHRINK TUBIN-48IN,INSUL,700,100,500,Packaging & Labeling,Packaging,,,,
16-3023R-PP,STDRD PIN SOLID 7-WY PLASTIC,METECH,902-PHIL,"28,000",0,Hardware & Fittings,Hardware Component,,,,
16-30247R-PP,SLD STD PIN 7-WY NYL SCKET,METECH,902-PHIL,"125,901",0,Hardware & Fittings,Hardware Component,,,,
16-3024R-PP,SOLID STDRD PIN 7-WY NYL SCKT,METECH,902-PHIL,"108,500",0,Hardware & Fittings,Hardware Component,,,,
16-30347R-PP,SOLID GRND PIN 7-WY NYL SCKT,METECH,902-PHIL,"30,000",0,Hardware & Fittings,Hardware Component,,,,
16-3034R-PP,SOLID PIN 7-WY NYL SCKT BULLET,METECH,901-PHIL,"28,000",0,Hardware & Fittings,Hardware Component,,,,
164230100-PP,.250OD X .190ID X .125 HT,MIDLAN,800,0,"3,000",Hardware & Fittings,Hardware Component,,,,
1660-P,RIGID PLASTIC LOCKING PLUG BLK,CC,700,"5,000",0,Electrical & Wiring,Electrical Component,,,,
16-724PLC-06R,"CONTACT STRIP, GROUND",XIAMEN,902-PHIL,3,0,Hardware & Fittings,Hardware Component,,,,
16-724PLC-07R,"CONTACT STRIP, POWER",XIAMEN,902-PHIL,3,0,Hardware & Fittings,Hardware Component,,,,
16-778R-SLEEVE-REV-5,1/2 LONG NOSE BOX SLEEVE STL,WELLFL,901-PHIL,"547,580",0,Packaging & Labeling,Packaging,,,,
16-832R-PP,GROUND PIN PLUG 1.710 AOL 6-32,JUSHAR,902-PHIL,"10,000",0,Electrical & Wiring,Electrical Component,,,,
16-8333R-PP,GRND PIN RING TERM ISO 7-WY,METECH,901-PHIL,"25,200",0,Hardware & Fittings,Hardware Component,,,,
16-833R-PP,GRND PIN BULLET ISO 7-WY SCKT,METECH,902-PHIL,"60,000",0,Hardware & Fittings,Hardware Component,,,,
16-8500-SLEEVE,5/8 LONG NOSE BOX SLEEVE STL,HEREDE,901-PHIL,"36,000",0,Packaging & Labeling,Packaging,,,,
1691-0410,1691-0410 AVDEL /# AB41-43MGV,EDSON,700,"10,432",0,Hardware & Fittings,Hardware Component,,,,
1691-0613,ALUMINUM RIVET 3/16 DOME,GOEBEL,700,"4,000",0,Fasteners,Rivet,,,,
16-9500-SLEEVE,3/16 LONG NOSEBOX SLEEVE STEEL,HEREDE,901-PHIL,"19,200",0,Hardware & Fittings,Hardware Component,,,,
16-9700-11R-PP,AUXILIARY TERMINAL EC47 SOCKET,DONG,902-PHIL,0,"5,000",Electrical & Wiring,Lug / Terminal,,,,
16-9700-14R-PP,TERMINAL MALE CAN EC-47 SOCKET,DONG,902-PHIL,0,"5,000",Electrical & Wiring,Lug / Terminal,,,,
16-9800-14R-PP,GROUND TERMINAL EC47 PLUG,DONG,902-PHIL,0,"5,000",Electrical & Wiring,Lug / Terminal,,,,
16-9800-15R-PP,STANDARD TERMINAL EC47 PLUG,DONG,902-PHIL,0,"5,000",Electrical & Wiring,Lug / Terminal,,,,
16CW006040,NYLON CUP WASHER 6 SCREW SIZE,VIP,700,"40,000",0,Fasteners,Washer,,,,
16FW004032,16FW004032 MICRO .115 X .250,VIP,700,"5,700",0,Fasteners,Screw,,,,
16FW006032,16FW006032 MICRO .140 X .312 X,VIP,700,"13,280",0,Fasteners,Screw,,,,
16FW006062,.140 X .312 X .062 NYLON FLAT,VIP,700,"5,750",0,Fasteners,Screw,,,,
16FW008032,.171 X .375 X .032 NYLON,VIP,700,"5,200",0,Fasteners,Screw,,,,
16FW250032,16FW250032 .257 X .500 X .032,VIP,700,"5,500",0,Fasteners,Screw,,,,
16FW250062,.257 ID X.500 OD X .062 THK,VIP,700,"6,000",0,Hardware & Fittings,Hardware Component,,,,
16FWRT006032,16FWRT006032 RETAINING WASHER,VIP,700,"27,750",0,Fasteners,Washer,,,,
16FWRT006062,0.328 ODX0.198 IDX0.062 THICK,VIP,700,"13,500",0,Hardware & Fittings,Hardware Component,,,,
16FWRT010062,NYLON CAPTIVE WASHER,VIP,700,"6,500",0,Fasteners,Washer,,,,
16FWRT250062,"NYLN SLF-RETNG WASHER 1/4""SCR",VIP,700,"5,245",0,Fasteners,Washer,,,,
16M04090080,M4 X 9MM FLAT WASHER NYLON,MPI,700,600,0,Fasteners,Washer,,,,
17007.401.PRT,4.1 ID X 4.52 OD X 0.21 THK,CALIBE,700,0,"43,000",Hardware & Fittings,Hardware Component,,,,
1705-13/64,13/64 HSS SCREW MACHINE DRILL,CHAMPI,400,84,0,Fasteners,Screw,,,,
1705-17/64,17/64 HSS SCREW MACHINE DRILL,CHAMPI,400,60,0,Fasteners,Screw,,,,
1705-3/16,3/16  HSS SCREW MACHINE DRILL,CHAMPI,400,24,0,Fasteners,Screw,,,,
1705-3/8,3/8   HSS SCREW MACHINE DRILL,CHAMPI,700,12,0,Fasteners,Screw,,,,
1705-5/16,5/16 HSS SCREW MACHINE DRILL,CHAMPI,400,24,0,Fasteners,Screw,,,,
1705-5/32,5/32  HSS SCREW MACHINE DRILL,CHAMPI,400,12,0,Fasteners,Screw,,,,
